prefix	lane_number	seq_id	sample_id	population	data_type
C641	lane4	1	C641	Big_Wash_2010	pe
C642	lane4	1	C642	Big_Wash_2010	pe
C643	lane4	1	C643	Big_Wash_2010	pe
C644	lane4	1	C644	Deadman_Creek_2010	pe
C645	lane4	1	C645	Deadman_Creek_2010	pe
C646	lane4	1	C646	Deadman_Creek_2010	pe
C647	lane4	1	C647	Deadman_Creek_2010	pe
C648	lane4	1	C648	Deadman_Creek_2010	pe
C649	lane4	1	C649	Deadman_Creek_2010	pe
C650	lane4	1	C650	Deadman_Creek_2010	pe
C651	lane4	1	C651	Deadman_Creek_2010	pe
C652	lane4	1	C652	Deadman_Creek_2010	pe
C662	lane4	1	C662	Hendrys_Creek_2009	pe
C663	lane4	1	C663	Hendrys_Creek_2009	pe
C664	lane4	1	C664	Hendrys_Creek_2009	pe
C665	lane4	1	C665	Hendrys_Creek_2009	pe
C666	lane4	1	C666	Hendrys_Creek_2009	pe
C667	lane4	1	C667	Hendrys_Creek_2009	pe
C668	lane4	1	C668	Hendrys_Creek_2009	pe
C670	lane4	1	C670	Hendrys_Creek_2009	pe
C681	lane4	1	C681	Willards_Creek_2003	pe
C682	lane4	1	C682	Willards_Creek_2003	pe
C683	lane4	1	C683	Willards_Creek_2003	pe
C684	lane4	1	C684	Willards_Creek_2003	pe
C685	lane4	1	C685	Willards_Creek_2003	pe
